iter	Passed	Remaining
0	1	126
1	3	164
2	4	141
3	5	124
4	6	117
5	7	112
6	8	109
7	9	106
8	10	103
9	11	102
10	12	101
11	13	99
12	14	97
13	15	95
14	17	97
15	18	98
16	19	96
17	20	95
18	21	93
19	22	91
20	23	89
21	24	87
22	25	86
23	26	84
24	27	83
25	28	81
26	29	79
27	30	78
28	31	76
29	33	77
30	34	75
31	34	73
32	35	72
33	36	71
34	37	70
35	38	69
36	39	67
37	40	66
38	41	65
39	42	63
40	43	62
41	43	60
42	44	59
43	45	57
44	47	58
45	48	56
46	49	55
47	49	53
48	50	52
49	51	51
50	52	50
51	53	48
52	54	47
53	55	47
54	55	45
55	57	44
56	58	43
57	59	42
58	60	41
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	91	16
85	92	15
86	94	14
87	95	12
88	96	11
89	97	10
90	98	9
91	99	8
92	101	7
93	102	6
94	103	5
95	104	4
96	106	3
97	107	2
98	108	1
99	109	0
